	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
1117	@_ffffn А что не так с картой?		1.0670490263176806e+18	tinkoff_bank	Mon Nov 26 13:34:47 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239287.0		
1118	"RT @syncromechanica: По сравнению с 90-ми началом 00х - курорт

https://t.co/IXAJhBAgI3"		1.0670386913387397e+18	vral_bludil	Mon Nov 26 12:53:43 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	1.0	1543236823.0		
1119	"По сравнению с 90-ми началом 00х - курорт

https://t.co/IXAJhBAgI3"		1.0670385736339579e+18	syncromechanica	Mon Nov 26 12:53:15 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1543236795.0		
1120	RT @tinkoff_bank: Тут могла бы быть шутка про удобрения, но мы от таких слегка устали: https://t.co/sBHcD33cqk https://t.co/XztpZs5LDX		1.0670354246553272e+18	sergei1967tvit	Mon Nov 26 12:40:44 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	1.0	1543236044.0		
1121	RT @tinkoffjournal: Профессиональный военный рассказал о своих доходах и тратах: https://t.co/efBkYksqdY https://t.co/jXPZMnLe6y		1.0670309864358216e+18	KungFuze	Mon Nov 26 12:23:06 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	1.0	1543234986.0		
1122	Профессиональный военный рассказал о своих доходах и тратах: https://t.co/efBkYksqdY https://t.co/jXPZMnLe6y		1.0670302788692705e+18	tinkoffjournal	Mon Nov 26 12:20:17 +0000 2018	[]	0.0	"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>"	5.0	1.0	1543234817.0		
1123	@mahnunchik Поняли. Попросим коллег в приоритете рассмотреть вопрос.		1.0670302366201037e+18	tinkoff_bank	Mon Nov 26 12:20:07 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	1.0	0.0	1543234807.0		
1124	Получил прибыль по акциям, хочу реинвестировать https://t.co/tUXjHTKqQZ https://t.co/YYSTfDqgBf		1.0670279578629448e+18	Tinkoff_Card	Mon Nov 26 12:11:04 +0000 2018	[]	0.0	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	0.0	0.0	1543234264.0		
1125	@tinkoff_bank Уже разобрались в телеграм. Была бесконтактная оплата через google pay, обычный терминал, покупки отк… https://t.co/V6LhauVxBo		1.0670273654762004e+18	mahnunchik	Mon Nov 26 12:08:42 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543234122.0		
1126	@mahnunchik Со своей стороны не можем отвечать за сторонние организации. В рамках лояльности готовы рассмотреть воз… https://t.co/SoTgoof5Tc		1.0670246194487788e+18	tinkoff_bank	Mon Nov 26 11:57:48 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543233468.0		
1127	@serenitatis @tinkoff_bank Правильно делает. Тинькофф Mobile пусть не забудет оформить. Всё-таки все проблемы у опе… https://t.co/p1NzPw9Kxo		1.0670234958912471e+18	chronosms1	Mon Nov 26 11:53:20 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543233200.0		
1128	@tinkoff_bank Что делать мне, как клиенту, если терминал передал вам заведомо некорректный MCC-код?		1.0670234110111007e+18	mahnunchik	Mon Nov 26 11:53:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543233180.0		
1129	@cap_nemo Мэрил Стрип хороша, бесспорно :)		1.067023253250687e+18	tinkoff_bank	Mon Nov 26 11:52:22 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543233142.0		
