	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
2857	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647892981788549e+18	DorianGrey65	Tue Nov 20 07:55:26 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700526.0		
2858	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647891518270095e+18	Renesans420	Tue Nov 20 07:54:51 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700491.0		
2859	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647890857583862e+18	apolo2803	Tue Nov 20 07:54:35 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700475.0		
2860	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647889077311037e+18	dima66299028	Tue Nov 20 07:53:53 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542700433.0		
2861	"Наши ""любимые"" Российские банки- Сбербанк, ВТБ- совсем не слушают пожелания нашего Президента. Путин ставил задачу… https://t.co/ka4k1dD1FX"		1.06478861524557e+18	eisk1942	Tue Nov 20 07:52:43 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1542700363.0		
2862	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.06478843094784e+18	A_theism_ru	Tue Nov 20 07:51:59 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542700319.0		
2863	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647883428339057e+18	a_kini	Tue Nov 20 07:51:38 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542700298.0		
2864	"Два месяца мы ждём ответа от @sberbank 
Два месяца мы получаем письма с ответом - «Надеемся на ваше понимание»
Дост… https://t.co/Hb2Ngyj8pi"		1.0647880940193546e+18	Domozhiroff	Tue Nov 20 07:50:39 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	2.0	1.0	1542700239.0		
2865	"Опять я затупила
прочитала в беседе, что стипуха пришла, решила сбер скачать и ввожу вместо ""сбербанк"" ""стипуха""
БЛЯТЬ"		1.0647879114035446e+18	Baylshmidt	Tue Nov 20 07:49:55 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	3.0	0.0	1542700195.0		
2866	RT @SeaStranger: ЗАГС они как Сбербанк. Вот где счёт открывали - туда и езжайте.  Главное, новость предвыборную закинуть - автоматизация, е…		1.0647874510787338e+18	hackuna	Tue Nov 20 07:48:05 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	1.0	1542700085.0		
2867	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647874410417152e+18	1964Matov	Tue Nov 20 07:48:03 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700083.0		
2868	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647873949127967e+18	plotkinov	Tue Nov 20 07:47:52 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700072.0		
2869	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064786951667155e+18	wchursa	Tue Nov 20 07:46:06 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542699966.0		
2870	Не надейтесь на понимание https://t.co/bkU4DH7RvO #Сбербанк #Вологда		1.0647865964179497e+18	Domozhiroff	Tue Nov 20 07:44:42 +0000 2018	[Hashtag(Text='Сбербанк'), Hashtag(Text='Вологда')]	0.0	"<a href=""http://www.livejournal.com/"" rel=""nofollow"">LiveJournal.com</a>"	0.0	2.0	1542699882.0		
2871	Вот так копишь копишь на мечту а потом Сбербанк списывает с тебя за годовое обслуживание и всё всему конец		1.0647865211679252e+18	CN1710CN	Tue Nov 20 07:44:24 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	24.0	0.0	1542699864.0		
2872	@IPigalkin @37taxi Или шурупчиков под колесо подкинуть. Чтобы как-то связать у чела в голове парковку около тактиль… https://t.co/rI5gCYSnWa		1.0647861829476434e+18	on_looker	Tue Nov 20 07:43:03 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1542699783.0		
2873	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064786150114644e+18	H2112201212	Tue Nov 20 07:42:55 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542699775.0		
2874	"Вот же.
Отправила в пятницу вместо 15 тыс рублей - 150. Вернее, дала кассиру, сколько надо. А расписалась за малень… https://t.co/rCtFLJWu8W"		1.0647857812046766e+18	kulyana_ali	Tue Nov 20 07:41:27 +0000 2018	[]	0.0	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0.0	0.0	1542699687.0		
2875	"RT @55Suhareva: «Сбербанк заблокирует любую карту, если в платеже будут указаны слова про наркотики, террор, договор». 
Посылаем недругу ру…"		1.0647853533436846e+18	antoninianton	Tue Nov 20 07:39:45 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	93.0	1542699585.0		
2876	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647850990556119e+18	ale38861847	Tue Nov 20 07:38:45 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542699525.0		
2877	"RT @ARBARB151: Сбербанк – чистой воды коммерческое предприятие, около половины которого контролируется из-за рубежа.
Герман Греф является ч…"		1.0647850584170455e+18	PaulaYalta	Tue Nov 20 07:38:35 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	13.0	1542699515.0		
2878	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647849668889313e+18	Olegosan	Tue Nov 20 07:38:13 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542699493.0		
2879	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064784964649214e+18	schestandrey201	Tue Nov 20 07:38:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542699492.0		
2880	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647845318430925e+18	istina	Tue Nov 20 07:36:29 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542699389.0		
2881	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647841555889029e+18	VorontsovNikola	Tue Nov 20 07:35:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542699300.0		
2882	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647836564163625e+18	Grant__Green	Tue Nov 20 07:33:01 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542699181.0		
2883	RT @Yacsbera: #Сбербанк планирует потратить на традиционный новогодний корпоратив в гольф-клубе 30 млн. Руб. Это для Златкисов, Хасисов, Гр…		1.0647835614908744e+18	litvinenko33	Tue Nov 20 07:32:38 +0000 2018	[Hashtag(Text='Сбербанк')]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	41.0	1542699158.0		
2884	https://t.co/sNSver2pJv Вся информация о вкладах в Сбербанк к 2019 году доступна только в этой теме. Тут вы найдете… https://t.co/hhxiCyosFk		1.0647835589407252e+18	DorisBorsellino	Tue Nov 20 07:32:37 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1542699157.0		
2885	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647833573415649e+18	sspet25021970	Tue Nov 20 07:31:49 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542699109.0		
